FOD_ID,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,lon,lat
201662427,2012,2012-03-19T00:00:00+00:00,79,Debris Burning,2.0,-82.48777777999999,36.69861111000006
201662428,2012,2012-11-10T00:00:00+00:00,315,Arson,8.3,-82.38916666999995,36.73222222000004
201662564,2012,2012-02-28T00:00:00+00:00,59,Debris Burning,1.0,-78.74555555999996,38.75750000000005
201662565,2012,2012-03-19T00:00:00+00:00,79,Debris Burning,0.5,-78.63666666999995,38.627500000000055
201662566,2012,2012-02-01T00:00:00+00:00,32,Equipment Use,4.0,-77.18222221999997,36.75333333000003
201662567,2012,2012-06-28T00:00:00+00:00,180,Miscellaneous,2.0,-77.05067221999997,36.65085278000004
201662568,2012,2012-07-05T00:00:00+00:00,187,Lightning,7.8,-77.07694443999998,36.85472222000004
201662937,2012,2012-04-17T00:00:00+00:00,108,Arson,0.1,-81.49055555999996,36.96138889000008
201662938,2012,2012-04-17T00:00:00+00:00,108,Arson,1.5,-81.43361110999996,36.96722222000005
201662940,2012,2012-04-02T00:00:00+00:00,93,Equipment Use,7.0,-77.53216666999998,38.22316667000007
201662941,2012,2012-04-08T00:00:00+00:00,99,Children,0.1,-77.54683332999997,38.23430556000005
201662942,2012,2012-06-11T00:00:00+00:00,163,Debris Burning,4.0,-77.84583332999995,38.200000000000045
201662943,2012,2012-04-10T00:00:00+00:00,101,Smoking,0.5,-77.46992499999999,38.32136389000004
201662944,2012,2012-04-04T00:00:00+00:00,95,Debris Burning,2.0,-76.94972221999996,37.12500000000006
201662945,2012,2012-04-06T00:00:00+00:00,97,Miscellaneous,2.0,-77.13749999999999,37.00027778000003
201662946,2012,2012-03-16T00:00:00+00:00,76,Lightning,11.0,-77.35416666999998,36.92222222000004
201662947,2012,2012-04-02T00:00:00+00:00,93,Miscellaneous,0.2,-77.24166666999997,37.066666670000075
201662948,2012,2012-04-07T00:00:00+00:00,98,Children,2.0,-77.34166666999994,36.80833333000004
201662949,2012,2012-06-29T00:00:00+00:00,181,Debris Burning,0.1,-77.39166666999995,36.816666670000075
201662950,2012,2012-07-05T00:00:00+00:00,187,Lightning,45.0,-77.31666666999996,36.98750000000007
201662951,2012,2012-03-07T00:00:00+00:00,67,Debris Burning,2.0,-81.76805555999994,37.09500000000003
201662952,2012,2012-04-17T00:00:00+00:00,108,Children,0.1,-81.45874999999995,37.19900000000007
201662953,2012,2012-06-25T00:00:00+00:00,177,Arson,0.2,-81.79527777999994,37.18388889000005
201663477,2012,2012-02-20T00:00:00+00:00,51,Miscellaneous,0.5,-78.07416666999995,38.902777780000065
201663478,2012,2012-02-20T00:00:00+00:00,51,Fireworks,0.1,-78.22944443999995,38.96444444000008
201663479,2012,2012-02-22T00:00:00+00:00,53,Children,2.5,-78.15491666999998,38.92491667000007
201663480,2012,2012-03-07T00:00:00+00:00,67,Debris Burning,1.0,-78.23499999999996,38.91500000000008
201663483,2012,2012-04-07T00:00:00+00:00,98,Smoking,1.0,-78.24722221999997,38.865555560000075
201663484,2012,2012-04-08T00:00:00+00:00,99,Debris Burning,1.0,-78.08666666999994,38.915277780000054
201663485,2012,2012-03-10T00:00:00+00:00,70,Debris Burning,1.0,-82.19527777999997,36.75500000000005
201663486,2012,2012-03-10T00:00:00+00:00,70,Debris Burning,3.0,-82.19583332999997,36.61833333000004
201663487,2012,2012-10-26T00:00:00+00:00,300,Arson,0.5,-82.01111110999994,36.66250000000008
201663488,2012,2012-11-10T00:00:00+00:00,315,Arson,3.0,-82.20999999999998,36.790833330000055
201663489,2012,2012-11-09T00:00:00+00:00,314,Debris Burning,6.0,-82.23416666999998,36.642222220000065
201663490,2012,2012-11-18T00:00:00+00:00,323,Debris Burning,3.0,-81.95916666999995,36.611666670000034
201663491,2012,2012-07-03T00:00:00+00:00,185,Lightning,9.0,-76.66916666999998,38.13000000000005
201663492,2012,2012-07-05T00:00:00+00:00,187,Miscellaneous,2.0,-76.59499999999997,38.07000000000005
201663493,2012,2012-07-05T00:00:00+00:00,187,Equipment Use,1.0,-76.57472221999996,38.06472222000008
201663495,2012,2012-03-19T00:00:00+00:00,79,Equipment Use,0.5,-82.68805555999995,36.90472222000005
201663497,2012,2012-04-15T00:00:00+00:00,106,Debris Burning,1.0,-82.46833332999995,36.93222222000003
201663498,2012,2012-11-11T00:00:00+00:00,316,Arson,63.0,-82.78194443999996,36.916944440000066
201663499,2012,2012-11-10T00:00:00+00:00,315,Arson,0.5,-80.88111110999995,37.004166670000075
201760591,2013,2013-11-17T00:00:00+00:00,321,Miscellaneous,0.04,-79.32333332999997,38.22055556000004
201760808,2013,2013-06-01T00:00:00+00:00,152,Miscellaneous,0.25,-79.88305555999995,37.952777780000076
201761092,2013,2013-11-14T00:00:00+00:00,318,Miscellaneous,8.25,-79.38583332999997,37.60111111000003
201762761,2013,2013-11-17T00:00:00+00:00,321,Arson,0.1,-78.51611110999994,38.790833330000055
201762914,2013,2013-04-14T00:00:00+00:00,104,Campfire,256.0,-79.33499999999998,37.723611110000036
201763020,2013,2013-02-21T00:00:00+00:00,52,Miscellaneous,15.0,-79.38166666999996,37.59583333000006
201763980,2013,2013-11-12T00:00:00+00:00,316,Smoking,1509.0,-81.16638888999995,36.80166667000003
201764255,2013,2013-11-18T00:00:00+00:00,322,Miscellaneous,608.0,-78.42944443999994,38.78833333000006
201764344,2013,2013-02-09T00:00:00+00:00,40,Miscellaneous,0.1,-79.33333332999996,37.73944444000006
201764536,2013,2013-04-24T00:00:00+00:00,114,Miscellaneous,105.0,-79.34611110999998,38.11972222000003
201764913,2013,2013-04-07T00:00:00+00:00,97,Campfire,0.6,-78.59277777999995,38.67222222000004
201765741,2013,2013-03-20T00:00:00+00:00,79,Miscellaneous,33.0,-79.95583332999996,37.916388890000064
201767196,2013,2013-05-31T00:00:00+00:00,151,Miscellaneous,1.4,-80.03472221999994,37.56750000000005
201767323,2013,2013-10-06T00:00:00+00:00,279,Campfire,0.01,-79.61194443999995,37.60194444000007
201773914,2013,2013-09-11T00:00:00+00:00,254,Missing/Undefined,0.1,-83.50439999999998,36.66050000000007
201779956,2013,2013-03-05T00:00:00+00:00,64,Miscellaneous,0.2,-77.52499999999998,38.82860000000005
201779957,2013,2013-11-18T00:00:00+00:00,322,Powerline,0.1,-77.52439999999996,38.815000000000055
201779958,2013,2013-04-27T00:00:00+00:00,117,Campfire,0.1,-77.41809999999998,38.597500000000025
201779959,2013,2013-05-17T00:00:00+00:00,137,Equipment Use,0.1,-77.35109999999997,38.574200000000076
201779960,2013,2013-08-03T00:00:00+00:00,215,Campfire,0.1,-77.41779999999994,38.59780000000006
201779961,2013,2013-11-02T00:00:00+00:00,306,Campfire,0.1,-77.37469999999996,38.57250000000005
201779965,2013,2013-05-18T00:00:00+00:00,138,Lightning,0.6,-77.25329999999997,37.41250000000008
201779972,2013,2013-04-14T00:00:00+00:00,104,Missing/Undefined,12.0,-78.80809999999997,38.093900000000076
201779975,2013,2013-04-26T00:00:00+00:00,116,Miscellaneous,0.3,-78.35219999999998,38.55560000000003
201779976,2013,2013-05-25T00:00:00+00:00,145,Lightning,0.1,-78.27359999999999,38.636900000000026
201779977,2013,2013-06-05T00:00:00+00:00,156,Arson,0.1,-78.76213999999999,38.18205000000006
201839740,2013,2013-04-07T00:00:00+00:00,97,Debris Burning,5.0,-77.25458332999995,37.079000000000065
201839741,2013,2013-04-10T00:00:00+00:00,100,Debris Burning,0.1,-76.64972221999994,37.81861111000006
201839742,2013,2013-01-23T00:00:00+00:00,23,Arson,0.5,-78.19916666999995,39.40416667000005
201839743,2013,2013-03-14T00:00:00+00:00,73,Debris Burning,0.1,-78.14047221999994,38.36266667000007
201839744,2013,2013-04-06T00:00:00+00:00,96,Debris Burning,1.5,-78.28722221999999,36.92500000000007
201839745,2013,2013-03-14T00:00:00+00:00,73,Smoking,1.0,-78.71817221999999,38.785191670000074
201839746,2013,2013-04-11T00:00:00+00:00,101,Debris Burning,0.1,-76.81888888999998,38.07583333000008
201839747,2013,2013-02-17T00:00:00+00:00,48,Debris Burning,1.0,-77.91888888999995,38.92916667000003
201839748,2013,2013-11-25T00:00:00+00:00,329,Miscellaneous,0.1,-78.50349999999997,38.06694444000004
201839749,2013,2013-04-14T00:00:00+00:00,104,Campfire,25.0,-82.44472221999996,36.95333333000008
201839750,2013,2013-05-14T00:00:00+00:00,134,Lightning,5.4,-77.63222221999996,37.12833333000003
201839752,2013,2013-11-24T00:00:00+00:00,328,Equipment Use,0.1,-78.04222221999999,36.87000000000006
201839753,2013,2013-03-22T00:00:00+00:00,81,Debris Burning,5.0,-79.31794443999996,37.203352780000046
201839754,2013,2013-11-19T00:00:00+00:00,323,Miscellaneous,4.0,-79.03967777999998,37.030652780000025
201839755,2013,2013-04-14T00:00:00+00:00,104,Children,0.2,-77.92249999999996,38.039722220000044
201839756,2013,2013-03-13T00:00:00+00:00,72,Arson,0.5,-79.11444443999994,37.415833330000055
201839757,2013,2013-11-20T00:00:00+00:00,324,Debris Burning,8.0,-78.29166666999998,39.30000000000007
201839758,2013,2013-01-30T00:00:00+00:00,30,Powerline,1.0,-78.39722221999995,39.238333330000046
201839759,2013,2013-03-22T00:00:00+00:00,81,Debris Burning,3.0,-79.02416666999994,37.689444440000045
201839760,2013,2013-04-18T00:00:00+00:00,108,Arson,0.2,-75.88733610999998,37.42948889000007
201839761,2013,2013-03-30T00:00:00+00:00,89,Debris Burning,1.0,-82.46194443999997,36.74277778000004
201839762,2013,2013-04-11T00:00:00+00:00,101,Debris Burning,0.1,-76.41527777999994,37.93750000000006
201839763,2013,2013-04-15T00:00:00+00:00,105,Miscellaneous,0.5,-82.99888888999999,36.74555556000007
201839764,2013,2013-02-25T00:00:00+00:00,56,Arson,45.0,-83.01333332999997,36.60694444000006
201839765,2013,2013-04-26T00:00:00+00:00,116,Debris Burning,1.0,-77.96805555999998,37.072777780000024
201839766,2013,2013-09-24T00:00:00+00:00,267,Powerline,1.0,-78.14527777999996,37.227777780000054
201839767,2013,2013-06-01T00:00:00+00:00,152,Equipment Use,0.5,-76.31686110999993,37.48027778000005
201839768,2013,2013-03-16T00:00:00+00:00,75,Debris Burning,17.0,-80.29044443999999,36.93122222000005
201839769,2013,2013-04-09T00:00:00+00:00,99,Powerline,45.0,-78.75555555999995,37.92888889000005
201839938,2013,2013-04-08T00:00:00+00:00,98,Equipment Use,3.0,-77.63194443999998,36.59972222000005
201839939,2013,2013-11-12T00:00:00+00:00,316,Campfire,1.0,-78.30277777999999,38.91944444000006
201839940,2013,2013-03-19T00:00:00+00:00,78,Arson,4.0,-82.37277777999998,37.099166670000045
201839941,2013,2013-11-14T00:00:00+00:00,318,Equipment Use,1.0,-78.20666666999995,36.59166667000005
201839942,2013,2013-04-24T00:00:00+00:00,114,Debris Burning,1.0,-78.02055555999993,36.752500000000055
201839943,2013,2013-03-22T00:00:00+00:00,81,Debris Burning,0.2,-78.20749999999998,37.87333333000004
201839944,2013,2013-03-02T00:00:00+00:00,61,Powerline,0.7,-78.15694443999996,39.07638889000003
201839945,2013,2013-02-12T00:00:00+00:00,43,Arson,1.0,-79.52538888999999,37.09208333000004
201839946,2013,2013-11-25T00:00:00+00:00,329,Miscellaneous,0.1,-78.19861110999994,36.96888889000007
201839947,2013,2013-04-27T00:00:00+00:00,117,Debris Burning,0.2,-77.05986110999999,37.383527780000065
201839948,2013,2013-11-12T00:00:00+00:00,316,Campfire,0.3,-77.46583332999995,38.99583333000004
201839949,2013,2013-03-30T00:00:00+00:00,89,Debris Burning,2.0,-77.99583332999998,39.212500000000034
201839950,2013,2013-11-23T00:00:00+00:00,327,Debris Burning,0.3,-78.28638888999996,37.93694444000005
